Parkia oppositifolia;Faveira;m;d-r;;5.4;2.7;7.9;0.42;0.50;1.08;7700;46.0;22.0;4.2;7.7;3310;2790;3.6;450;;Parkia nitida;9700;83.6;35.5;5.6;9.6;4130;2910;3.2;390;2.0
Parkia sp.;Faveira;m;d;br;5.4;2.4;8.1;0.29;0.32;1.06;5600;31.3;15.2;2.1;5.1;2450;1850;1.5;250;;Parkia sp.;6300;39.9;24.0;2.3;5.5;;;1.4;240;2.3
Parkia pendula;Faveira-bolota;m;i;br;7.8;3.8;10.5;0.50;0.63;1.13;10000;65.7;30.7;4.3;9.5;4260;3970;4.0;560;;Parkia pendula;11800;86.4;49.2;7.2;11.5;5450;4290;4.0;510;2.1
Parkia pendula;Faveira-bolota;m;i;br;7.2;2.5;10.0;0.51;0.63;1.10;9600;66.0;32.3;4.9;8.3;4680;4250;4.0;;;Parkia pendula;11000;93.9;48.9;7.8;9.9;5340;4350;3.8;;2.9
Piptadenia communis;Faveira-folha-fina;m;in;ma;7.4;4.5;13.3;0.68;0.88;1.12;10900;100.5;51.9;10.4;11.2;7120;7380;4.9;;;Piptadenia comunis;13700;118.3;70.0;11.7;13.4;7360;7570;3.8;;1.6
Enterolobium maximum;Faveira-tamboril;mg;r;ma;4.5;2.4;6.7;0.37;0.44;1.05;7300;44.2;20.2;2.6;7.2;3110;2750;3.0;;;Enterolobium maximum;9400;83.6;43.4;6.0;9.0;3930;2880;3.1;;1.9
Enterolobium maximum;Faveira-tamboril;mg;r;ma;4.6;2.3;6.8;0.42;0.50;1.05;7900;56.9;29.0;5.9;6.1;3390;2970;2.7;340;;Enterolobium maximum;7800;49.8;38.4;4.2;7.8;5040;3390;2.3;320;2.0
Ficus insipida;Figueira;m;r;br;9.7;5.0;14.1;0.36;0.45;1.09;6400;37.5;19.4;2.3;4.8;1240;860;2.3;280;;Ficus insipida;8100;62.8;38.4;4.0;6.6;2120;1220;2.0;310;1.9
Cordia bicolor;Freijó;m;d;br;11.7;6.3;18.0;0.49;0.67;1.10;9600;56.1;27.7;3.0;5.9;3690;3430;2.8;;;Cordia bicolor;12100;82.9;50.9;3.8;7.8;5730;4370;3.4;;1.9
Cordia goeldiana;Freijó;m;i;ci;6.6;4.1;10.6;0.48;0.60;0.92;8500;65.0;32.8;3.4;6.8;4180;3600;3.5;;;Cordia goeldiana;10400;93.2;51.7;6.2;8.5;6080;4520;3.1;;1.6
